,PROD_NAME,PROD_PRICE,PROD_DESCRIPTION,PROD_URL,PROD_IMAGE_URL,Salt,protein,Sugar,carbohydrates,hereof: saturated fatty acids,Fat,calorific value,storage,Characteristics,supplier,May contain traces of,Ingredients/Ingredients,Contents,Possible delivery times,PROD_CATEGORY,PROD_SUB_CATEGORY,STORE_NAME,Salt,Protein,Sugar,carbohydrates,davon gesättigte Fatsäuren,Fat,calorific value,Ursprungsregion,Zutaten/Inhaltsstoffe,Inhalt,Mögliche Lieferzeiten,Insert currywurst slices,gross weight,supplier,region of origin,May contain traces of,Bundesland,Herkunftsland,Haltungsstufe,Frischegarantie (mindestens),Beschreibung,Variable weight,Freshness guarantee (minimum),Description,Variables Gewicht,Verbrauchshinweis,Verpackungshinweis,Besonderheit,country of origin,posture level,storage,Characteristics,davon Stärke,mehrfach ungesättigte Fatsäuren,Einfach ungesättigte Fatsäuren,consumption note,Packing Notice,*,fiber,of it strength,thereof polyols,Polyunsaturated fatty acids,Monounsaturated fatty acids,Ursprungsland,Ballaststoffe,davon Polyole,Information about the offer,*Haltungsstufe,Zubereitungshinweis,Informationen zum Angebot,Preparation note,Zubereitungsempfehlung (gekühltes Produkt),Preparation recommendation (chilled product),Zubereitungsempfehlung,drained weight,sodium,Notice,Natrium,Backofen,Grill,"Bratpfanne, Pfanne",Zubereitungsempfehlungen,Herkunftsland der Aquakultur/Binnenfischerei,Lateinischer Name,Hinweis,Country of origin of aquaculture/inland fisheries,Inverkehrbringer,Abtropfgewicht,Latin name,Verbraucherhinweise,Hinweis zur Frischegarantie,Note on the freshness guarantee
298,Bifi 3 Roll,€2.89,"Every bite a complete pleasure; Sealed under protective athmosphere. , FMCG DE Supplier Community has provided the above information.",https://oda.com//de/products/47447-bifi-bifi-3-roll/,https://bilder.kolonial.no/local_products/511d2026-dc05-4c6a-bc07-e240373ec7a9.jpg?auto=format&fit=max&w=1000&s=8f8e9d01fd5830dceac8a36d5f7bd781,,,,,,31 g,1912 kJ / 457 kcal,,,"FMCG DE Supplier Community, Eyber Str. 81, , 91522 Ansbach",,"Schweinefleisch, WEIZENMEHL, Speck, Palmöl, Zucker, Hefe, jodiertes Speisesalz (Speisesalz, Kaliumiodat), Emulgatoren (Mono- und Diglyceride von SpeiseFatsäuren, Citronensäureester von Mono- und Diglyceriden von SpeiseFatsäuren, Mono- und Diacetylweinsäureester von Mono- und Diglyceriden von SpeiseFatsäuren), WEIZENGLUTEN, MAGERMILCHPULVER, EIGELBPULVER, Dextrose, Stabilisator (Guarkernmehl), Antioxidationsmittel (Natriumascorbat), EIKLARPULVER, Backtriebmittel (Calciumcarbonat, Calciumphosphate), Gewürze (Pfeffer, Koriander, Knoblauchpulver), Rapsöl, Aromen, Speisesalz, Buchenholzrauch. ",135 grams,daily,"Meat, sausage & fish",Sausage & cold cuts,oda,2.30 g,14 g,3.60 g,3.60 g,31 g,,,Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,Rügenwalder vegan ham pick salad herbs in a cup,€1.99," , Rügenwalder Mühle has provided the above information.",https://oda.com//de/products/50535-rugenwalder-muhle-rugenwalder-veganer-schinken-spi/,https://bilder.kolonial.no/local_products/3ee61072-0f22-4194-8a2e-c080e937dd34.jpg?auto=format&fit=max&w=1000&s=010bd71c1da4a3c256bbade79a881336,1.60g,0.80g,4.20g,5.10g,1.70g,,,,,"Rügenwalder Mühle, Industriestrasse 5, 26160 Bad Zwischenahn, Germany",,"Trinkwasser, 22% Rapsöl, 14% Gurken, Zucker, 1,8% Bambusfasern, 1,8% Kräuter, Verdickungsmittel: Carrageen, Konjak, Tarakernmehl, Xanthan, Guarkernmehl; Kochsalz, modifizierte Stärke, Gewürzextrakte, Branntweinessig, Traubenzucker, natürliches Aroma, Citrusfasern, Senfmehl, Gewürze, Kartoffelprotein, Farbstoff: Eisenoxide; Maltodextrin, Zwiebelpulver, Lauchpulver, Karottenpulver. Mit 40% veganer Schinkenwurst. ",150 grams,daily,"Meat, sausage & fish",Sausage & cold cuts,oda,,,,,,22g,928kJ / 225kcal,Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.60g,0.90g,,4.80g,15.50g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,original Italian Bresaola,€3.79,"Italian beef ham. , Fumagalli Ind. Alimentari hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/55722-fumagalli-orig-ital-bresaola/,https://bilder.kolonial.no/local_products/160b8d3e-1bda-4951-957d-57e530be2cb8.jpg?auto=format&fit=max&w=500&s=08cdc360016d5370b397dac558479bc0,,,,,,1.60 g,671 kJ / 160 kcal,,,"Fumagalli Ind. Alimentari, Via Briantea, 18, 22038 Tavernerio (CO) Italien",,,,,"Meat, sausage & fish",Sausage & cold cuts,oda,3.90 g,35 g,0.50 g,1 g,0.50 g,,,Italien,"Rindfleisch, Salz, Dextrose, natürliches Aroma, Konservierungsmittel: Natriumnitrit, Kaliumnitrat. Für 100g Fertigerzeugniss wurden 96g Rindfleisch verwendet. Unter Schutzatmosphäre verpackt.",70 Gramm,täglich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,Ponnath chicken breast fillet,€2.79,"Extra thin and delicate. Only 2% fat. Pickled and cooked. Exquisite products from the master butchers. , Ponnath Die Meistermetzger GmbH has provided the above information.",https://oda.com//de/products/42200-ponnath-ponnath-geflugelbrustfilet/,https://bilder.kolonial.no/local_products/7f39f20a-45ed-4908-b0da-7a15387b6bd1.jpg?auto=format&fit=max&w=649&s=64d517d08b1cf63d8fbe8594ad6e15a8,,,,,,2 g,443 kJ / 106 kcal,,,"Ponnath Die Meistermetzger GmbH, Bayreuther Straße 40, 95478 Kemnath, Deutschland",,"Geflügelfleisch 93% (Putenbrustfilet, Hähnchenbrustfilet), jodiertes Speisesalz(Speisesalz, Kaliumjodat), Dextrose, Gewürze, Stabilisator: Triphosphate, Antioxidationsmittel: Natriumascorbat, Konservierungsstoff: Natriumnitrit. Unter Schutzatmosphäre verpackt. Kann Spuren von SENF und SELLERIE enthalten. ",150 grams,daily,"Meat, sausage & fish",Sausage & cold cuts,oda,2.30 g,20.50 g,0.80 g,0.80 g,2 g,,,,,,,,,,,,,,,,,,5 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,Zimbo Emsländer Gold liver sausage with veal,€1.99,"The finest veal liver sausage, tender and creamy. , Mühlen Gruppe Markenvertriebs GmbH has made the above information available.",https://oda.com//de/products/43999-zimbo-zimbo-emslander-gold-leberwurst-mit-kalbflei/,https://bilder.kolonial.no/local_products/9b86ea0e-3e25-4c5f-8a97-5d0cceee4b13.jpg?auto=format&fit=max&w=1000&s=dc788e881d8bd883c4b6896168e983c7,,13g,,,31.50g,,,,,,,"Pork 32%, pork liver 24%, pork bacon, veal 15%, onions, table salt, spices, spice extracts, glucose syrup, invert sugar syrup, caramel sugar syrup, sugar, vanillin, antioxidants: ascorbic acid and sodium ascorbate, emulsifier: citric acid esters of mono- and diglycerides of fatty acids, preservative : sodium nitrite, artificial intestines.",180 grams,daily,"Meat, sausage & fish",Sausage & cold cuts,oda,,,,,,31.50g,1407kJ / 336kcal,,,,,,,"Zur Mühlen Gruppe Markenvertriebs GmbH, Gewerbestrasse 1, 24860 Böklund, Germany",Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,Rügenwalder Vegan Mill Salami,€1.59,"Vegan milled salami 80g , Rügenwalder Mühle has provided the above information.",https://oda.com//de/products/46982-rugenwalder-muhle-rugenwalder-vegane-muhlen-salami/,https://bilder.kolonial.no/local_products/80dfffe1-263f-4af9-99bf-8f790171e0c7.jpg?auto=format&fit=max&w=656&s=d64f78e5799482927d9fbfd23f8e3e33,2.70g,7.20g,1.40g,4.80g,0.70g,,,,,,,"Drinking water,  rapeseed oil,  6%  WHEAT GLUTEN , aroma, thickening agent: carrageenan, konjac, methylcellulose; Table salt, potato protein, 1.6% WHEAT flour , spices, glucose, citrus fibres, coloring: iron oxides, carotenes. May contain traces of soy and egg .                       ",80 grams,daily,"Meat, sausage & fish",Sausage & cold cuts,oda,,,,,,9.20g,570kJ / 137kcal,,,,,,,"Rügenwalder Mühle, Industriestrasse 5, 26160 Bad Zwischenahn, Germany",,"eggs, soybeans.",,,,,,,,,,,,,Germany,,,,,,,,,,3.20g,3.40g,,2.60g,5.90g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,Ferdi Fuchs mini salami,€1.59,"Die Mini Salami im praktischen Viererpack ist der Snack von Ferdi Fuchs für Zwischendurch. Egal ob zu Hause oder unterwegs, die leckere Mini Salami ist der ideale Snack für Groß und Klein.

Thiamin, Niacin, und Biotin - tragen zu einem normalen Energiestoffwechsel bei - Vitamin B6 - trägt zu einer normalen Funktion des Immunsystems bei - Folsäure - trägt zur Verringerung von Müdigkeit bei - Pantothensäure - trägt zu einer normalen geistigen Leistung bei - Vitamin E - trägt dazu bei, die Zellen vor oxidativem Stress zu schützen

Thiamin, Niacin, und Biotin - tragen zu einem normalen Energiestoffwechsel bei - Vitamin B6 - trägt zu einer normalen Funktion des Immunsystems bei - Folsäure - trägt zur Verringerung von Müdigkeit bei - Pantothensäure - trägt zu einer normalen geistigen Leistung bei - Vitamin E - trägt dazu bei, die Zellen vor oxidativem Stress zu schützen

Thiamin, Niacin, und Biotin - tragen zu einem normalen Energiestoffwechsel bei - Vitamin B6 - trägt zu einer normalen Funktion des Immunsystems bei - Folsäure - trägt zur Verringerung von Müdigkeit bei - Pantothensäure - trägt zu einer normalen geistigen Leistung bei - Vitamin E - trägt dazu bei, die Zellen vor oxidativem Stress zu schützen

Thiamin, Niacin, und Biotin - tragen zu einem normalen Energiestoffwechsel bei - Vitamin B6 - trägt zu einer normalen Funktion des Immunsystems bei - Folsäure - trägt zur Verringerung von Müdigkeit bei - Pantothensäure - trägt zu einer normalen geistigen Leistung bei - Vitamin E - trägt dazu bei, die Zellen vor oxidativem Stress zu schützen

Thiamin, Niacin, und Biotin - tragen zu einem normalen Energiestoffwechsel bei - Vitamin B6 - trägt zu einer normalen Funktion des Immunsystems bei - Folsäure - trägt zur Verringerung von Müdigkeit bei - Pantothensäure - trägt zu einer normalen geistigen Leistung bei - Vitamin E - trägt dazu bei, die Zellen vor oxidativem Stress zu schützen

Thiamin, Niacin, und Biotin - tragen zu einem normalen Energiestoffwechsel bei - Vitamin B6 - trägt zu einer normalen Funktion des Immunsystems bei - Folsäure - trägt zur Verringerung von Müdigkeit bei - Pantothensäure - trägt zu einer normalen geistigen Leistung bei - Vitamin E - trägt dazu bei, die Zellen vor oxidativem Stress zu schützen

Thiamin, Niacin, und Biotin - tragen zu einem normalen Energiestoffwechsel bei - Vitamin B6 - trägt zu einer normalen Funktion des Immunsystems bei - Folsäure - trägt zur Verringerung von Müdigkeit bei - Pantothensäure - trägt zu einer normalen geistigen Leistung bei - Vitamin E - trägt dazu bei, die Zellen vor oxidativem Stress zu schützen

Thiamin, Niacin, und Biotin - tragen zu einem normalen Energiestoffwechsel bei - Vitamin B6 - trägt zu einer normalen Funktion des Immunsystems bei - Folsäure - trägt zur Verringerung von Müdigkeit bei - Pantothensäure - trägt zu einer normalen geistigen Leistung bei - Vitamin E - trägt dazu bei, die Zellen vor oxidativem Stress zu schützen

Thiamin, Niacin, und Biotin - tragen zu einem normalen Energiestoffwechsel bei - Vitamin B6 - trägt zu einer normalen Funktion des Immunsystems bei - Folsäure - trägt zur Verringerung von Müdigkeit bei - Pantothensäure - trägt zu einer normalen geistigen Leistung bei - Vitamin E - trägt dazu bei, die Zellen vor oxidativem Stress zu schützen

Thiamin, Niacin, und Biotin - tragen zu einem normalen Energiestoffwechsel bei - Vitamin B6 - trägt zu einer normalen Funktion des Immunsystems bei - Folsäure - trägt zur Verringerung von Müdigkeit bei - Pantothensäure - trägt zu einer normalen geistigen Leistung bei - Vitamin E - trägt dazu bei, die Zellen vor oxidativem Stress zu schützen

Thiamin, Niacin, und Biotin - tragen zu einem normalen Energiestoffwechsel bei - Vitamin B6 - trägt zu einer normalen Funktion des Immunsystems bei - Folsäure - trägt zur Verringerung von Müdigkeit bei - Pantothensäure - trägt zu einer normalen geistigen Leistung bei - Vitamin E - trägt dazu bei, die Zellen vor oxidativem Stress zu schützen

Thiamin, Niacin, und Biotin - tragen zu einem normalen Energiestoffwechsel bei - Vitamin B6 - trägt zu einer normalen Funktion des Immunsystems bei - Folsäure - trägt zur Verringerung von Müdigkeit bei - Pantothensäure - trägt zu einer normalen geistigen Leistung bei - Vitamin E - trägt dazu bei, die Zellen vor oxidativem Stress zu schützen

Thiamin, Niacin, und Biotin - tragen zu einem normalen Energiestoffwechsel bei - Vitamin B6 - trägt zu einer normalen Funktion des Immunsystems bei - Folsäure - trägt zur Verringerung von Müdigkeit bei - Pantothensäure - trägt zu einer normalen geistigen Leistung bei - Vitamin E - trägt dazu bei, die Zellen vor oxidativem Stress zu schützen

Thiamin, Niacin, und Biotin - tragen zu einem normalen Energiestoffwechsel bei - Vitamin B6 - trägt zu einer normalen Funktion des Immunsystems bei - Folsäure - trägt zur Verringerung von Müdigkeit bei - Pantothensäure - trägt zu einer normalen geistigen Leistung bei - Vitamin E - trägt dazu bei, die Zellen vor oxidativem Stress zu schützen

Thiamin, Niacin, und Biotin - tragen zu einem normalen Energiestoffwechsel bei - Vitamin B6 - trägt zu einer normalen Funktion des Immunsystems bei - Folsäure - trägt zur Verringerung von Müdigkeit bei - Pantothensäure - trägt zu einer normalen geistigen Leistung bei - Vitamin E - trägt dazu bei, die Zellen vor oxidativem Stress zu schützen

Thiamin, Niacin, und Biotin - tragen zu einem normalen Energiestoffwechsel bei - Vitamin B6 - trägt zu einer normalen Funktion des Immunsystems bei - Folsäure - trägt zur Verringerung von Müdigkeit bei - Pantothensäure - trägt zu einer normalen geistigen Leistung bei - Vitamin E - trägt dazu bei, die Zellen vor oxidativem Stress zu schützen

Thiamin, Niacin, und Biotin - tragen zu einem normalen Energiestoffwechsel bei - Vitamin B6 - trägt zu einer normalen Funktion des Immunsystems bei - Folsäure - trägt zur Verringerung von Müdigkeit bei - Pantothensäure - trägt zu einer normalen geistigen Leistung bei - Vitamin E - trägt dazu bei, die Zellen vor oxidativem Stress zu schützen. Eine abwechslungsreiche und ausgewogene Ernährung sowie gesunde Lebensweise sind wichtig für Ihre Gesundheit. , Westfälische Fleischwarenfabrik Stockmeyer GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/47532-ferdi-fuchs-ferdi-fuchs-mini-salami-4x50g-einzelve/,https://bilder.kolonial.no/local_products/962dd5a0-0cae-4109-a82d-1ef42fffbeb6.jpg?auto=format&fit=max&w=1000&s=10348bfde776e819075b5c571bb5d7ea,4.10g,32g,0.20g,0.20g,33g,,,,,,,,,,"Meat, sausage & fish",Sausage & cold cuts,oda,,,,,,33g,1790kJ / 428kcal,,"Schweinefleisch, Speisesalz, Traubenzucker, Maltodextrin, Gewürze, Gewürzextrakte, Antioxidationsmittel: Natriumascorbat, Vitamine (Vitamin E, Niacin, Calcium-D-Pantothenat, Vitamin B6, Thiamin, Folsäure, Biotin), Konservierungsstoff: Natriumnitrit, Kaliumiodat, Reifekulturen, Buchenholzrauch. 100 g Mini Salami werden aus 181 g Fleisch hergestellt. Kann Spuren von GLUTEN, MILCH und EI enthalten. ",200 Gramm,täglich,,,"Westfälische Fleischwarenfabrik Stockmeyer GmbH, Stockmeyer-Strasse 1, 48336 Sassenberg, Germany",Germany,"gluten, eggs, milk.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,Rügenwalder Vegan Ham Spicker Mortadella,€1.59,"Vegan product in the style of a ham sausage based on sunflower seeds, cooked , Rügenwalder Mühle has provided the above information.",https://oda.com//de/products/47761-rugenwalder-muhle-rugenwalder-veganer-schinken-spi/,https://bilder.kolonial.no/local_products/db6add2f-4f2d-493d-b594-41c0d4129b84.jpg?auto=format&fit=max&w=656&s=2c3cdf48167b8523925f5c6dfa9ddd43,2.20g,2.20g,1.50g,3.10g,0.70g,,,,,,,"Drinking water, 9% rapeseed oil, bamboo fibers, thickening agent: carrageenan, tara gum, konjac; Spice extracts, 2% sunflower protein, table salt, natural flavor, glucose, citrus fibres, spices, potato protein, colourings: anthocyanins, carotenes. May contain traces of egg, soy and wheat gluten.",80 grams,daily,"Meat, sausage & fish",Sausage & cold cuts,oda,,,,,,9g,487kJ / 118kcal,,,,,,,"Rügenwalder Mühle, Industriestrasse 5, 26160 Bad Zwischenahn, Germany",,"eggs, soybeans.",,,,,,,,,,,,,Germany,,,,,,,,,,7.70g,1.50g,,3.40g,7.60g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,original Italian Coppa,€4.15,"Italian Coppa ham. , Fumagalli Ind. Alimentari has provided the above information.",https://oda.com//de/products/55142-fumagalli-orig-ital-coppa/,https://bilder.kolonial.no/local_products/d7d899d4-b455-4ff4-b7c6-d9049cf6d989.jpg?auto=format&fit=max&w=511&s=65e9c127faf089d0eb68b66957917072,3.30g,24g,,,13g,,,,,,,"Pork neck, salt, dextrose, antioxidant: sodium ascorbate, flavorings, preservatives: potassium nitrate, sodium nitrite. Made with 138g pork per 100g finished product. Sealed under protective athmosphere.",100 gram,daily,"Meat, sausage & fish",Sausage & cold cuts,oda,,,,,,22g,1231kJ / 294kcal,,,,,,,"Fumagalli Ind. Alimentari, Via Briantea, 18, 22038 Tavernerio (CO) Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,Liverwurst with veal,€1.19,"Liverwurst with veal. , Goldschmaus Natur GmbH & Co. KG has provided the above information.",https://oda.com//de/products/43538-die-marke-der-bauern-leberwurst-mit-kalbfleisch/,https://bilder.kolonial.no/local_products/812606f9-5e65-4595-ab3c-e28a3e1b288e.jpg?auto=format&fit=max&w=1000&s=5efd316c7e7ab7b0976228b7790e57f7,,,,,,27 g,1185 kJ / 283 kcal,,,"Goldschmaus Natur GmbH & Co. KG, Industriestraße 10-12, 49681 Garrel, Deutschland",,"35% Schweinefleisch, 29% Schweineleber, Speck, 7% Kalbfleisch, Speisesalz, Dextrose, Gewürze, Maltodextrin, hydrolysiertes Raps- und Maiseiweiß, Antioxidationsmittel: Ascorbinsäure, Natriumascorbat, Natriumisoascorbat; Emulgator: Mono- und Diglyceride von SpeiseFatsäuren; Laktose, Säureregulator: Natriumcitrat; Säuerungsmittel: Citronensäure; PflanzenFat (Palm), Zucker, Konservierungsstoff: Natriumnitrit; natürliches Aroma, Aroma, Raucharoma. Kann Spuren von GLUTEN, SELLERIE, SENF und PISTAZIEN enthalten. ",125 grams,daily,"Meat, sausage & fish",Sausage & cold cuts,oda,2.10 g,14 g,1.20 g,1.20 g,27 g,,,Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,Rostbratwurst vac every day,€3.99,"Delicacy Rostbratwurst in a natural casing. , Central trading company - ZHG-mbH has provided the above information.",https://oda.com//de/products/44406-jeden-tag-jeden-tag-rostbratwurst-vac/,https://bilder.kolonial.no/local_products/f6332114-ab66-49be-b5b9-9c1448f064ed.jpg?auto=format&fit=max&w=829&s=ea27372b09e66ecadf7c8d5a7f902fb4,2g,14g,0.90g,1.10g,11g,,,,,,,"90%  pork,  drinking water,  table salt, spices  ,  glucose syrup,  pork protein,  acidity regulator:  sodium citrate,  dextrose,  tomato powder,  carrot powder,  pork intestine.  May contain  traces  of  GLUTEN , MILK , NUTS , CELERY and MUSTARD .       ",540 grams,daily,"Meat, sausage & fish",Sausage & cold cuts,oda,,,,,,25g,1182kJ / 282kcal,,,,,,,"Central trading company - ZHG-mbH, Hanns-Martin-Schleyer Str. 2, 77656, Offenburg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,woodpecker delicacies Chicken breast fillet in aspic,€1.75,"Woodpecker delicatessen chicken breast fillet with peppers and cucumbers in beef gelatine 125g , Specht Fleischwaren Vertriebs GmbH & Co. KG has provided the above information.",https://oda.com//de/products/44480-specht-specht-delik-hahnchenbrustfilet-in-aspik/,https://bilder.kolonial.no/local_products/de59e533-a838-4430-a375-2c40e01d00bd.jpg?auto=format&fit=max&w=712&s=af70ad88007248c162142078fbce8472,2.75g,16g,6g,6g,0.80g,,,,,,,"Chicken (51%), drinking water, gelatine (beef), sugar, spirit vinegar, paprika (3%), cucumber (3%), iodised table salt (table salt, potassium iodate), acidifier: citric acid, glucose syrup, spices, spice extracts, antioxidant: sodium ascorbate , preservative: sodium nitrite.",125 grams,daily,"Meat, sausage & fish",Sausage & cold cuts,oda,,,,,,2g,448kJ / 106kcal,,,,,,,"Specht Fleischwaren Vertriebs GmbH & Co. KG, Specht Fleischwaren Vertriebs GmbH & Co. KG, Hesselteicher Str. 81, 33829 Borgholzhausen",Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,Rügenwalder vegan mill salami with colored pepper,€1.59,"There's pepper in it, but no meat. And yet our vegan salami with colored pepper tastes like a really good pepper salami. How we can get the typical salami taste purely plant-based is and will remain our well-kept secret. Instead of meat, we use wheat and a small amount of rapeseed oil with omega-3 fatty acids for our vegan salami with colored pepper. , Rügenwalder Mühle has provided the above information.",https://oda.com//de/products/45469-rugenwalder-muhle-rugenwalder-vegane-muhlen-salami/,https://bilder.kolonial.no/local_products/f47e2196-c948-446b-a8a1-cb560a70de53.jpg?auto=format&fit=max&w=656&s=32daaebb3fc5176c7c8425051be20fc5,2.70g,7.20g,,,,9.10 g,571 kJ / 138 kcal,,,"Rügenwalder Mühle, Industriestraße 5 , 26160 Bad Zwischenahn, Deutschland","Eier, Sojabohnen.","Trinkwasser, Rapsöl, 6% WEIZENGLUTEN, Aroma, Verdickungsmittel: Carrageen, Konjak, Methylcellulose; Kochsalz, Kartoffelprotein, 1,5% WEIZENMEHL, 1,2% Pfeffer, Traubenzucker, Citrusfasern, Gewürze, Farbstoffe: Eisenoxide, Carotine. ",80 grams,daily,"Meat, sausage & fish",Sausage & cold cuts,oda,,,1.50 g,5.10 g,0.70 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.60 g,2.60 g,5.80 g,,,,3.20g,,,,,Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,Houdek Kabanos cheese,€2.29,"Refined with cheese made from hay milk. In summer the cows get grass and herbs on the pasture for the hay milk, in winter hay. Sealed under protective athmosphere. , Houdek Starmberg provided the above information.",https://oda.com//de/products/47631-houdek-houdek-kabanos-kase/,https://bilder.kolonial.no/local_products/d06c66b4-73e5-4997-b34f-9576047e8fe9.jpg?auto=format&fit=max&w=332&s=10437dade498336c2ce988570ce76336,2.50g,22g,1.50g,2g,11g,,,,,,,"Schweinefleisch, HARTKÄSE (aus Heumilch g. t. S.)* 45% Fat i. Tr., jodiertes Speisesalz (Speisesalz, Kaliumiodat), Gewürze, getrockneter Glucosesirup, Zucker, Dextrose, Antioxidationsmittel: Natriumascorbat, Ascorbinsäure; Konservierungsstoff: Natriumnitrit, Naturdarm (Schwein), Buchenholzrauch. *mit Rohmilch hergestellt100g sind hergestellt aus 100g Schweinefleisch und 19g HARTKÄSE. May contain traces of MUSTARD and CELERY .        ",150 grams,daily,"Meat, sausage & fish",Sausage & cold cuts,oda,,,,,,24g,1300kJ / 313kcal,,,,,,,"Houdek Starmberg, Moosstrasse 8, 82319 Starnberg, Germany",,,,,,,,,,,,,,,Germany,,,,,,,,,,0.50g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,original Italian Prosciutto Crudo,€4.39,"Italian ham. , Fumagalli Ind. Alimentari has provided the above information.",https://oda.com//de/products/55721-fumagalli-orig-ital-prosciutto-crudo/,https://bilder.kolonial.no/local_products/8ab47b25-5a38-433d-bdbf-3a3bc4c7c294.jpg?auto=format&fit=max&w=1000&s=782f3d25bd2f27de59acadf922a0d059,5.50g,28g,,,5.50g,,,,,,,"pork leg, salt. Sealed under protective athmosphere.",100 gram,daily,"Meat, sausage & fish",Sausage & cold cuts,oda,,,,,,15g,1040kJ / 249kcal,,,,,,,"Fumagalli Ind. Alimentari, Via Briantea, 18, 22038 Tavernerio (CO) Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
