,PROD_NAME,PROD_PRICE,PROD_DESCRIPTION,PROD_URL,PROD_IMAGE_URL,Salt,protein,Sugar,carbohydrates,hereof: saturated fatty acids,Fat,calorific value,drained weight,product weight,supplier,country of origin,Ingredients/Ingredients,Contents,Possible delivery times,PROD_CATEGORY,PROD_SUB_CATEGORY,STORE_NAME,fiber,region of origin,Natrium,Salz,Protein,Ballaststoffe,Zucker,Kohlenhydrate,davon gesättigte Fettsäuren,Fett,Brennwert,Lieferant,Ursprungsregion,Zutaten/Inhaltsstoffe,Inhalt,Mögliche Lieferzeiten,Abtropfgewicht,Characteristics,gross weight,Eigenschaften,May contain traces of,FAO area designation,Description,Drained weight,Size,Delivery days,Product InformationThe supplier has not provided us with detailed information about this product.Alle Produkte von Del Monte anzeigen,Produktgewicht,Ursprungsland,Beschreibung,Kann Spuren enthalten von ,sodium,Bruttogewicht,Hinweis,capacity,Inverkehrbringer,"Store at room temperature protected from light. After opening, store in a cool place (max. +7°C) and use up within 2 days. Best before",Bei Raumtemperatur lichtgeschützt aufbewahren. Nach dem Öffnen kühl (max. +7°C) lagern und innerhalb von 2 Tagen aufbrauchen. Mindestens haltbar bis,davon Polyole,thereof polyols,distributor,Product InformationThe supplier has not provided us with detailed information about this product.View all Nestlé products,Freshness guarantee (minimum),Monounsaturated fatty acids,storage,Informationen zum Angebot,Information about the offer,Polyunsaturated fatty acids
237,Paulsen Norwegian cucumber salad,€2.09,"Cucumber salad, Nordic sweet taste. , Alfred Paulsen GmbH & Co. KG has provided the above information.",https://oda.com//de/products/44656-paulsen-paulsen-norweger-gurkensalat/,https://bilder.kolonial.no/local_products/4f9bb7be-a446-4bab-8a10-8a970e1fbba1.jpg?auto=format&fit=max&w=845&s=f31edd131d9d25d57dc99c796f8b821f,0.60g,0.60g,14.70g,16.20g,0.10g,0.10g,287kJ / 69kcal,300 grams,,"Alfred Paulsen GmbH & Co. KG, Alfred-Paulsen Str. 8, 21762 Otterndorf, Germany",,"Cucumbers, sugar, brandy vinegar, salt, flavorings (cinnamon, dill, caraway), firming agent: calcium chloride.",530 grams,daily,"Supplies, sauces and condiments",Preserves & Pickles,oda,,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,Bonduelle gold corn,€1.29,"With this golden-yellow vegetable classic you can prepare, refine and spice up so many dishes that it is pure joy. Thanks to its natural sweetness, it is particularly popular with children - without additives and without genetic engineering. , BONDUELLE SAS has provided the above information.",https://oda.com//de/products/45119-bonduelle-bonduelle-goldmais/,https://bilder.kolonial.no/local_products/6962ee1d-d905-4c49-a479-4530f706d9ad.jpg?auto=format&fit=max&w=833&s=dc4dbff24bccee4ddcef5889685ed7a1,0.40g,2.90g,5.20g,5.20g,1.90g,1.90g,334kJ / 80kcal,140 grams,,BONDUELLE SAS,,"Sweet Corn, Water, Salt.",150 grams,daily,"Supplies, sauces and condiments",Preserves & Pickles,oda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,Dreistern Hausmacher-Sülze,"3,99€","Schweinskopf-Sülze. Der Klassiker, wie hausgemacht. , Werner Simon GmbH & Co. KG hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/45312-simon-dreistern-hausmacher-sulze/,https://bilder.kolonial.no/local_products/b8294287-4e60-4a9d-8a16-eae67e2bb6a1.jpg?auto=format&fit=max&w=1000&s=e28ff4562fcd920253553ee81a009460,,,,,,,,,,,,,,,"Supplies, sauces and condiments",Preserves & Pickles,oda,,,,2.10 g,11 g,,1.10 g,1.10 g,15 g,15 g,782 kJ / 187 kcal,"Werner Simon GmbH & Co. KG, Philipp-Oehmigke-Str. 4, 16816 Neuruppin, Deutschland",,"54% vorgegartes Schweinekopffleisch, Trinkwasser, Schweineschwarten, Zwiebeln, jodiertes Nitritpökelsalz (Speisesalz, Kaliumjodat, Konservierungsstoff: Natriumnitrit), Säuerungsmittel: Essigsäure, Zucker, Gewürzextrakte. Kann Spuren von SELLERIE und SENF enthalten. ",400 Gramm,täglich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,Campo Verde demeter organic tomato paste,€2.29,"Demeter tomato paste , Campo Verde GmbH has provided the above information.",https://oda.com//de/products/47506-campo-verde-campo-verde-demeter-bio-tomatenmark/,https://bilder.kolonial.no/local_products/852086f8-c39e-4e21-a260-bca7bb97b0c2.jpg?auto=format&fit=max&w=483&s=93383dbd94e458723beccf7ea84863e7,0.12g,3.40g,9.60g,12g,0.10g,0.40g,293kJ / 70kcal,,,"Campo Verde GmbH, Daisendorferstr. 6, 88690 Uhldingen-Mühlhofen, Germany",,"Tomatoes (concentrated)** (100%). Simply concentrated, dry matter 22%. ** from biodynamic agriculture (demeter)",200 grams,daily,"Supplies, sauces and condiments",Preserves & Pickles,oda,,Italy,,,,,,,,,,,,,,,,organic product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,Campo Verde demeter organic apple puree,€1.89,"Demeter apple mark , Campo Verde GmbH has provided the above information.",https://oda.com//de/products/47657-campo-verde-campo-verde-demeter-bio-apfelmark/,https://bilder.kolonial.no/local_products/04d9d236-9982-4047-96d3-b96c7d3b3182.jpg?auto=format&fit=max&w=575&s=694be40ee76cde0166e1daa48560eb04,0g,0.30g,15.10g,17g,0g,0.20g,305kJ / 72.90kcal,,,"Campo Verde GmbH, Daisendorferstr. 6, 88690 Uhldingen-Mühlhofen, Germany",Netherlands,Apples** (100%). ** from biodynamic agriculture (demeter),360 grams,daily,"Supplies, sauces and condiments",Preserves & Pickles,oda,,Germany,,,,,,,,,,,,,,,,organic product,360g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,Dittmann Hot Green Peppers,€2.49,"Hot green peppers 330g jar , Reichold Feinkost GmbH has provided the above information.",https://oda.com//de/products/50075-feinkost-dittmann-dittmann-grune-pfefferonen-schar/,https://bilder.kolonial.no/local_products/779bf4d4-379b-4615-bf73-e83f8bfa95e1.jpg?auto=format&fit=max&w=1000&s=052b0cd24f2af955ff492d7783abe6aa,2.35g,0.90g,0.80g,4.20g,0.10g,0.30g,136kJ / 32kcal,165 grams,,"Reichold Feinkost GmbH, Im Maisel 6, 65232 Taunusstein, Germany",,"Peppers,  water,  table salt,  acidifier:  citric acid,  acetic acid,  preservative:  sodium benzoate,  antioxidant:  POTASSIUM METABISULPHITE . ",330 grams,daily,"Supplies, sauces and condiments",Preserves & Pickles,oda,,Türkiye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,Bonduelle gold corn,€1.69,"The golden corn: Unique and naturally delicious! Thanks to special care in cultivation and gentle processing, Bonduelle Goldmais has always tasted delicious by nature, without any additives, without genetic engineering and of course without any pesticide residues*! *Residues of pesticides used < 0.01 mg/kg. , BONDUELLE SAS has provided the above information.",https://oda.com//de/products/42534-bonduelle-bonduelle-goldmais/,https://bilder.kolonial.no/local_products/f4cd1c8e-5251-4481-a67c-58e9c471249c.png?auto=format&fit=max&w=583&s=634a058a6aa87fb96d1c06a66c1fbf81,0.40g,2.90g,5.20g,5.20g,1.90g,1.90g,334kJ / 80kcal,285 grams,,BONDUELLE SAS,,"Sweet Corn, Water, Salt.",300 grams,daily,"Supplies, sauces and condiments",Preserves & Pickles,oda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,Jola Rindfleisch,"4,39€","Jola Rindfleisch im eigenen Saft. , Werner Simon GmbH & Co. KG hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/42869-jola-jola-rindfleisch/,https://bilder.kolonial.no/local_products/fcf74315-bc50-4431-b418-c966341a3cf2.jpg?auto=format&fit=max&w=940&s=5545fb1670ec108194b409145c9bf3ce,,,,,,,,,,,,,,,"Supplies, sauces and condiments",Preserves & Pickles,oda,,,,1.80 g,18 g,,,,7.90 g,17 g,939 kJ / 224 kcal,"Werner Simon GmbH & Co. KG, Philipp-Oehmigke-Str. 4, 16816 Neuruppin, Deutschland",,"88% Rindfleisch, Schweineschwarten, Speisesalz, Trockenzwiebeln, Gewürze, Kräuter.",400 Gramm,täglich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,Coastal gold tuna fillets in olive oil,€2.19,"Tuna fillets in extra virgin olive oil. The fish in this Coastal Gold product is fully traceable. , I. Schroeder KG (GmbH u. Co.) has provided the above information.",https://oda.com//de/products/44872-kustengold-kustengold-thunfisch-filets-in-olivenol/,https://bilder.kolonial.no/local_products/16a729e2-d207-4f8a-9961-39e994527add.jpg?auto=format&fit=max&w=1000&s=eda430822ce6a2da3b730aab965157e0,0.98g,25g,,,13g,13g,892kJ / 213kcal,,,"I. Schroeder KG (GmbH & Co.), Am Sandtorkai 37, D-20457 Hamburg, Germany",,"75%**  TUNA , 24% extra virgin olive oil , table salt. **Weight loss from heating.         ",195 grams,daily,"Supplies, sauces and condiments",Preserves & Pickles,oda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,Coastal Gold Cocktail Cornichons,€1.85,"Extra finely selected cocktail gherkins. Without the addition of preservatives. , MEIKO Konservenfabrik Franz Meier GmbH & Co. KG has provided the above information.",https://oda.com//de/products/45042-kustengold-kustengold-cocktail-cornichons/,https://bilder.kolonial.no/local_products/6d385e3a-3494-40f0-8a86-668074aa8438.jpg?auto=format&fit=max&w=803&s=74804f2ad121c9e8f44ed1c973b6e96d,1.30g,1.50g,8.60g,8.60g,,,193kJ / 46kcal,190 grams,,"MEIKO Konservenfabrik Franz Meier GmbH & Co. KG, Keltenstrasse 14, 94486 Osterhofen-Gergweis, Germany",,"Cucumbers,  water,  spirit vinegar,  sugar,  iodized salt,  MUSTARD SEEDS , spices, natural flavor.    ",330 grams,daily,"Supplies, sauces and condiments",Preserves & Pickles,oda,,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,"BIO COMPANY Organic tomato paste, simply concentrated",€1.19,"Tomato paste in a jar made from aromatic, sun-ripened Italian tomatoes, twice concentrated and unsalted. Perfect for sauces and to refine. , BIO COMPANY SE has provided the above information.",https://oda.com//de/products/52484-bio-company-bio-company-bio-tomatenmark-einfach-ko/,https://bilder.kolonial.no/local_products/32f27244-6871-4095-84a7-b00e46a7133c.jpg?auto=format&fit=max&w=450&s=7675d51d1b489526712c79247ad25dfb,0.04g,3.90g,10g,14.50g,,0.30g,347kJ / 82kcal,,,"BIO COMPANY SE, Rheinstrasse 45-46, 12161, Berlin, Germany",,Tomato paste* 22% at least,100 gram,daily,"Supplies, sauces and condiments",Preserves & Pickles,oda,2.90g,,,,,,,,,,,,,,,,,organic product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,NaturWert organic apple puree,€1.79,"NaturWert organic apple pulp is ideal for desserts, pastries and tastes good with pancakes. Also to be enjoyed pure. , ODW Lebensmittel GmbH has provided the above information.",https://oda.com//de/products/43040-naturwert-bio-naturwert-bio-apfelmark/,https://bilder.kolonial.no/local_products/f461b5be-7969-4392-ace7-d00c33b90525.jpg?auto=format&fit=max&w=484&s=415c8e4841586b81ceaadd41aefc9e1f,,,12g,12g,,,238kJ / 57kcal,,,"ODW Lebensmittel GmbH, Bahnhofstrasse 31, 64747, Breuberg",,apples*. *from controlled organic farming.,700 grams,daily,"Supplies, sauces and condiments",Preserves & Pickles,oda,,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,"Bonduelle Colorful In addition, Goldmais double pack",€1.59,"Whether it's salad, pasta, pizza, soup or side dishes, the small tins always add a touch of sophistication to the plate - without leaving anything behind. Time to spice up the enjoyment. No preservatives and no added flavors. , BONDUELLE SAS has provided the above information.",https://oda.com//de/products/45192-bonduelle-bonduelle-bunt-dazu-goldmais-doppelpack/,https://bilder.kolonial.no/local_products/7c09b044-ed2f-4ec7-82b1-4d3a739451d9.jpg?auto=format&fit=max&w=833&s=fe6b81849daf18e1bdbd2688f9159cc5,0.40g,2.90g,5.20g,5.20g,1.90g,1.90g,334kJ / 80kcal,140 grams,,BONDUELLE SAS,,"Sweet Corn, Water, Salt.",150 grams,daily,"Supplies, sauces and condiments",Preserves & Pickles,oda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,Coastal gold mustard gherkin pieces mildly spicy,€1.65,"Mustard cucumber pieces mildly spicy. , MEIKO-Konservenfabrik Franz Meier GmbH & Co. KG hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/45596-kustengold-kustengold-senfgurken-stucke-mild-wurzi/,https://bilder.kolonial.no/local_products/cffec645-c47e-404f-939d-f1b557013491.jpg?auto=format&fit=max&w=658&s=05364ae464ac3644a6340f78a3441968,,,,,,,,,,,,,,,"Supplies, sauces and condiments",Preserves & Pickles,oda,,,,0.60 g,,,2.30 g,2.30 g,,,55 kJ / 13 kcal,"MEIKO-Konservenfabrik Franz Meier GmbH & Co. KG, Keltenstrasse 14, 94486 Osterhofen-Gergweis, Deutschland",Deutschland,"Schälgurken, Wasser, Branntweinessig, Zucker, Speisesalz, SENFKÖRNER, Säuerungsmittel: Citronensäure, Antioxidationsmittel: Ascorbinsäure; natürliches Aroma, Süßungsmittel: Natriumsaccharin. ",670 Gramm,täglich,420 Gramm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,Schlömer's mockturtle-style soup,€4.95,"The specialty from Cloppenburg - Schlömer's soup. Hearty mockturtle-style soup with meatballs and diced meat sausage. According to a traditional recipe. The soup is ready to eat. The ""hearty"" soup can also be extended with meat broth or water. A refinement to a main course is possible, e.g. with mushrooms, paprika, .... Ideal for pasta and rice dishes. , Fleischverarbeitungs GmbH K. Ruwe has provided the above information.",https://oda.com//de/products/45928-schlomers-schlomers-suppe-nach-mockturtle-art/,https://bilder.kolonial.no/local_products/a106b806-f3a6-4d53-8bc4-0d2ff5bc8d0e.jpg?auto=format&fit=max&w=888&s=2f36381fe314b90507d8e7b1d589d8ef,1.56g,5.30g,0.13g,0.13g,9g,9g,505kJ / 121kcal,,,,,"Trinkwasser, 22% Fleischklößchen (86% Schweine- und Rindfleisch, Trinkwasser, jodiertes Speisesalz, Gewürze, Pfefferextrakt, Stabilisatoren: Diphosphate, Triphosphate; Konservierungsstoff: Natriumnitrit); 15% Fleischwurst (70% Schweinefleisch, Trinkwasser, Schweineschwarten, Dextrose, jodiertes Speisesalz, Gewürze, Gewürzextrakte), WEIZENMEHL, jodiertes Kochsalz, WEIZENSTÄRKE, Palmfett (teilweise gehärtet), Kartoffelstärke, Gewürze, Karamell, fraktioniertes Erbsenmehl, Zucker, Tomatenpulver, Hefeextrakt, Maltodextrin, Aroma, Dextrose, Verdickungsmittel: Guarkernmehl; Farbstoff: Ammoniumsulfit-Zuckerkulör; Geschmacksverstärker (Dinatriumguanylat, Mononatriumglutamat, Dinatriuminosinat), Säuerungsmittel: Citronensäure. Kann Spuren von SELLERIE, SENFSAAT, MILCH, EIERN, SOJA und NÜSSEN enthalten. ",800 grams,daily,"Supplies, sauces and condiments",Preserves & Pickles,oda,,,,,,,,,,,,"Fleischverarbeitungs GmbH K. Ruwe, Elbingstr. 8, D-49624 Löningen, Germany",Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,Coastal Gold Tuna Chunks in Oil,€1.85,"Origin: wild caught Catch area: Pacific Ocean (FAO 87). , I. Schroeder KG (GmbH u. Co.) has provided the above information.",https://oda.com//de/products/52326-kustengold-kustengold-thunfisch-stucke-in-ol/,https://bilder.kolonial.no/local_products/e2f4a1bd-21a3-4ad8-87c9-2d23a9fd9386.jpg?auto=format&fit=max&w=1000&s=887f4f8a59922875dd750f5e88572e1b,0.82g,24g,0.50g,0.50g,13g,13g,882kJ / 211kcal,,,"I. Schroeder KG (GmbH & Co.), Am Sandtorkai 37, D-20457 Hamburg, Germany",,"TUNA  (Katsuwonus  Pelamis),  sunflower oil,  table salt. ",135 grams,daily,"Supplies, sauces and condiments",Preserves & Pickles,oda,0.60g,Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,BIO COMPANY Organic children's tomato sauce,€1.79,"Aromatic tomato sauce for children - quickly prepared, made in Italy from sun-ripened tomatoes. , BIO COMPANY SE has provided the above information.",https://oda.com//de/products/52652-bio-company-bio-company-bio-kindertomatensauce/,https://bilder.kolonial.no/local_products/1cd8081d-addf-4f3d-922d-00ae2bbab657.jpg?auto=format&fit=max&w=450&s=a99f59b8798e3893cceedba485d6a508,1.03g,1.30g,3.50g,4.70g,,2.60g,212kJ / 51kcal,,,"BIO COMPANY SE, Rheinstrasse 45-46, 12161, Berlin, Germany",,"Tomatoes* (81%), carrots* (5%), onions* (4%), aubergines* (3%), extra virgin olive oil*, zucchini* (2%), sea salt, celery* (1%), basil *, Parsely*",350 grams,daily,"Supplies, sauces and condiments",Preserves & Pickles,oda,1.40g,,,,,,,,,,,,,,,,,organic product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,Fitini sour cherries,€2.69,"Fitini sour cherries, pitted, with sweeteners 370ml No added sugar* *contains naturally occurring sugars from fruits. For a calorie-conscious diet. , Spreewaldreservate Golßen GmbH has provided the above information.",https://oda.com//de/products/44330-fitini-fitini-sauerkirschen/,https://bilder.kolonial.no/local_products/d2b751f1-fa49-40ac-9631-007fd4f6c29f.jpg?auto=format&fit=max&w=1000&s=0c75c7b7e4744cdc61447acf492dd2e3,0.03g,0.40g,7.60g,7.70g,0.10g,0.10g,145kJ / 34kcal,185 grams,,"Spreewaldreservate Golssen GmbH, Bahnhofstr. 1, 15938 Golssen, Germany",,"Tart cherries, water, sweeteners: sodium cyclamate and sodium saccharin.",340 grams,daily,"Supplies, sauces and condiments",Preserves & Pickles,oda,,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,Coastal Gold Cornichons Sweet and Sour,€1.95,"Cornichons, sweet. , MEIKO Konservenfabrik Franz Meier GmbH & Co. KG has provided the above information.",https://oda.com//de/products/45777-kustengold-kustengold-cornichons-suss-sauer/,https://bilder.kolonial.no/local_products/3d232c04-a445-4f32-949d-27226ef9110a.jpg?auto=format&fit=max&w=768&s=c7f5819753d94734c7fb7043d3cf690c,2.40g,1.70g,14g,14g,,,286kJ / 68kcal,300 grams,,"MEIKO Konservenfabrik Franz Meier GmbH & Co. KG, Keltenstrasse 14, 94486 Osterhofen-Gergweis, Germany",,"Cucumbers,  water,  sugar,  brandy vinegar,  table salt,  MUSTARD SEEDS , natural flavoring, coloring riboflavin.     ",530 grams,daily,"Supplies, sauces and condiments",Preserves & Pickles,oda,,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,Appel MSC tender herring fillets pepper cream,€1.99,"Appel MSC certified tender herring fillets in a hearty pepper cream. , Appel Feinkost GmbH & Co. KG has provided the above information.",https://oda.com//de/products/46455-appel-appel-msc-zarte-heringsfilets-pfeffer-creme/,https://bilder.kolonial.no/local_products/804d45b4-ce4f-47d3-8d3d-b1a27403cbbd.jpg?auto=format&fit=max&w=1000&s=883c563fa25e63d3d83f4f661e618192,1.08g,11.10g,3.80g,4.20g,3g,17.10g,910kJ / 219kcal,120 grams,,"Appel Feinkost GmbH & Co. KG, Neufelder Schanze 2, 27472 Cuxhaven, Germany",Germany,"Herring fillets  (60  %),  water,  rapeseed oil,  tomato paste,  vinegar,  sugar,  mango  chutney  (sugar,  mango,  vinegar,  salt,  spices),  starch, salt,  spices  (  contain  MUSTARD ), thickener: guar gum; pepper, dextrose.     ",200 grams,daily,"Supplies, sauces and condiments",Preserves & Pickles,oda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,Bonduelle Goldcorn Texas Mix,€1.69,"Vegetable mix of sweet corn, red beans and peppers, vacuum packed. Bonduelle is the best tender vegetables without genetic engineering! Bonduelles Goldmais is something very special. Its sweet taste, its golden appearance and its nice crunch make it unique. These fine properties now also open up many creative possibilities for modern cooking in the new Goldmais mixtures. , BONDUELLE SAS has provided the above information.",https://oda.com//de/products/46480-bonduelle-bonduelle-goldmais-texas-mix/,https://bilder.kolonial.no/local_products/fcccbb59-f958-4637-b40f-d88710660dd8.jpg?auto=format&fit=max&w=470&s=307ca6f45a74150831b3b1d7dff9fb47,,,,,,,,265 grams,,,,"Gemüse (Gemüsemais 68%, rote Paprika 13 %, Kidney Bohnen 7 %), Wasser, Salz, Antioxidationsmittel: Ascorbinsäure, Komplexbildner: Calcium-Dinatrium-EDTA. ",300 milliliters,daily,"Supplies, sauces and condiments",Preserves & Pickles,oda,,,,0.30 g,3.30 g,,5 g,5 g,1.50 g,1.50 g,311.50 kJ / 74 kcal,BONDUELLE SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,Dittmann dried tomatoes,€3.89,"Feinkost Dittmann dried tomatoes 320g glass , Reichold Feinkost GmbH has provided the above information.",https://oda.com//de/products/50067-feinkost-dittmann-dittmann-getrocknete-tomaten/,https://bilder.kolonial.no/local_products/62230486-5163-4a1b-8866-4e4369f8d740.jpg?auto=format&fit=max&w=592&s=df70c6375e6fd5e17d5890a64caa37d7,3.95g,3g,4.70g,5g,0.80g,12.60g,671kJ / 162kcal,200 grams,,"Reichold Feinkost GmbH, Im Maisel 6, 65232 Taunusstein, Germany",,"55%  tomatoes,  sunflower oil,  garlic,  sea salt, brandy  vinegar,  herbs,  acidifier:  citric acid,  antioxidant:  SODIUM METABISULPHITE , ascorbic acid.  ",320 grams,daily,"Supplies, sauces and condiments",Preserves & Pickles,oda,,Türkiye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,BIO COMPANY Organic Ricotta Tomato Sauce,€1.99,"Aromatic tomato sauce with ricotta for quick cooking, made in Italy, based on sun-ripened tomatoes. , BIO COMPANY SE has provided the above information.",https://oda.com//de/products/52480-bio-company-bio-company-bio-tomatensauce-ricotta/,https://bilder.kolonial.no/local_products/9ef7c1a2-9263-4f69-9902-123c724a01aa.jpg?auto=format&fit=max&w=450&s=b3618993d1e1843b695af8cc9268b14f,1.03g,2.70g,4.90g,7.20g,,3.40g,308kJ / 74kcal,,,"BIO COMPANY SE, Rheinstrasse 45-46, 12161, Berlin, Germany",,"Tomatoes*  (80  %),  RICOTTA*  (8  %), onions*,  paprika*,  extra virgin olive oil* ,  sea salt, basil*, corn starch*, black pepper*       ",350 grams,daily,"Supplies, sauces and condiments",Preserves & Pickles,oda,1.50g,,,,,,,,,,,,,,,,,organic product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,Fitini plums,€2.49,"Fitini plums, half fruit, with sweeteners 370ml , Spreewaldreservate Golßen GmbH has provided the above information.",https://oda.com//de/products/44552-fitini-fitini-pflaumen/,https://bilder.kolonial.no/local_products/5cf56393-7a0e-4eb2-8153-967cf7b607cc.jpg?auto=format&fit=max&w=764&s=7fe1b795e271c1d4d672a4f5a3e856af,0.03g,0.40g,7g,8g,0.10g,0.10g,154kJ / 36kcal,180 grams,,"Spreewaldreservate Golssen GmbH, Bahnhofstr. 1, 15938 Golssen, Germany",,"Plums, water, sweeteners: sodium cyclamate and sodium saccharin.",340 grams,daily,"Supplies, sauces and condiments",Preserves & Pickles,oda,,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,Bonduelle Goldcorn Mexico Mix,€1.69,"Feeling like Mexican today? How good that Bonduelle Goldmais® is available in so many great mixtures! In the Goldmais® Mexico Mix you will find a crunchy mixture of Goldmais®, peas and red peppers, which is well suited as a filling for a hearty wrap or a Mexican touch in the salad. Without preservative substances. , BONDUELLE SAS has provided the above information.",https://oda.com//de/products/44717-bonduelle-bonduelle-goldmais-mexiko-mix/,https://bilder.kolonial.no/local_products/0766d29b-9c8f-4e9f-bf8b-864207423fe5.jpg?auto=format&fit=max&w=784&s=2b37a97d3c477663d7201f5756e95e44,0.57g,3.40g,4.40g,4.40g,1.50g,1.50g,340kJ / 81kcal,280 grams,,BONDUELLE SAS,,"Vegetables (49% sweet corn, 29% wrinkled peas, 10% red peppers), water, salt.",340 grams,daily,"Supplies, sauces and condiments",Preserves & Pickles,oda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,Appel MSC tender herring fillets with tomato cream,€1.69,"Appel MSC herring fillets tomato cream 200g , Appel Feinkost GmbH & Co. KG hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/46535-appel-appel-msc-zarte-heringsfilets-tomaten-creme/,https://bilder.kolonial.no/local_products/a3306554-9d78-45af-b677-5f03d55abb5d.jpg?auto=format&fit=max&w=1000&s=b082a6cf1b2194fee20bd890b226c40a,,,,,,,,,,,,,,,"Supplies, sauces and condiments",Preserves & Pickles,oda,,,,0.98 g,12 g,,4.50 g,5.20 g,2.70 g,16.10 g,906 kJ / 218 kcal,"Appel Feinkost GmbH & Co. KG, Neufelder Schanze 2, 27472 Cuxhaven, Deutschland",,"HERINGSFILETS (60%), Tomatenmark (14%), Wasser, Rapsöl, Zucker, Branntweinessig, modifizierte Stärke, Speisesalz, Verdickungsmittel: Guarkernmehl, Johannisbrotkernmehl; Gewürze. ",200 Gramm,täglich,120 Gramm,,,,,,,,,,,,Deutschland,,,,,,,,,,,,,,,,,,,
